Snail ID,Lake,Collection,Sex,Ploidy,RM,Temperature,Head,Righting
SeFM17_4,Selfe,Field,Male,2x,Sexual,16C,3.37,12.17
AlFM17_10,Alexandrina,Field,Male,2x,Sexual,22C,16.55,49.44
AlFM17_11,Alexandrina,Field,Male,2x,Sexual,22C,10.7,23.5
AlFM17_8,Alexandrina,Field,Male,2x,Sexual,22C,5.11,11.76
AlOF16_10,Alexandrina,Lab,Female,2x,Sexual,22C,104.43,180
AlOF16_11,Alexandrina,Lab,Female,2x,Sexual,22C,6.99,23.87
AlOF16_3,Alexandrina,Lab,Female,2x,Sexual,22C,8.19,18.38
AlOF16_7,Alexandrina,Lab,Female,2x,Sexual,22C,26.67,174.19
AlOF16_8,Alexandrina,Lab,Female,2x,Sexual,22C,13.6,34.88
AlOM16_1,Alexandrina,Lab,Male,2x,Sexual,22C,10.49,19.21
AlOM16_3,Alexandrina,Lab,Male,2x,Sexual,22C,3.28,72.56
AlOM16_4,Alexandrina,Lab,Male,2x,Sexual,22C,5.62,43.04
AlOM16_5,Alexandrina,Lab,Male,2x,Sexual,22C,14.17,65.98
EyFF16_08,Ellery,Field,Female,2x,Sexual,22C,4.21,13.77
EyFF16_09,Ellery,Field,Female,3x,Asexual,22C,3.22,6.33
EyFF16_14,Ellery,Field,Female,3x,Asexual,22C,4.06,12.85
EyFF16_16,Ellery,Field,Female,2x,Sexual,22C,2.36,18.69
EyFF16_17,Ellery,Field,Female,3x,Asexual,22C,2.33,10.03
Gu4xAsF_11,Gunn,Lab,Female,4x,Asexual,22C,5.04,17.98
Gu4xAsF_12,Gunn,Lab,Female,4x,Asexual,22C,3.25,8.45
Gu4xAsF_13,Gunn,Lab,Female,4x,Asexual,22C,3.6,24.19
Gu4xAsF_4,Gunn,Lab,Female,4x,Asexual,22C,1.66,9.55
Gu4xAsF_7,Gunn,Lab,Female,4x,Asexual,22C,1.66,4.4
Gu4xAsF_8,Gunn,Lab,Female,4x,Asexual,22C,8.03,15.18
Gu4xAsF_9,Gunn,Lab,Female,4x,Asexual,22C,1.3,4.97
Gu4xAsM_3,Gunn,Lab,Male,4x,Asexual,22C,7.15,10.12
Gu4xAsM_5,Gunn,Lab,Male,4x,Asexual,22C,2.71,5.18
Gu4xAsM_6,Gunn,Lab,Male,4x,Asexual,22C,5.31,10.52
Gu4xAsM_8,Gunn,Lab,Male,4x,Asexual,22C,1.53,9.76
Gu4xAsM_9,Gunn,Lab,Male,4x,Asexual,22C,3.08,14.85
Hr76AsF3N_1,Heron,Lab,Female,3x,Asexual,22C,3.08,68.13
Hr76AsF3N_8,Heron,Lab,Female,3x,Asexual,22C,2.02,44.02
KnAsF13_4,Kaniere,Lab,Female,3x,Asexual,22C,1.31,6.53
KnFF16_5,Kaniere,Field,Female,2x,Sexual,22C,13.36,22.98
KnFF16_7,Kaniere,Field,Female,3x,Asexual,22C,3.21,14.32
KnFM16_12,Kaniere,Field,Male,2x,Sexual,22C,3.94,11.21
KnFM16_4,Kaniere,Field,Male,2x,Sexual,22C,4.33,9.16
KnFM16_5,Kaniere,Field,Male,2x,Sexual,22C,4.88,8.68
KnFM16_8,Kaniere,Field,Male,2x,Sexual,22C,6.18,16.58
MkAsF_2,Mapourika,Lab,Female,3x,Asexual,22C,13.37,29.32
MkAsM_1,Mapourika,Lab,Male,3x,Asexual,22C,20.68,49.96
MkFF17_2,Mapourika,Field,Female,2x,Sexual,22C,5,174.65
MkFF17_3,Mapourika,Field,Female,3x,Asexual,22C,7.86,34.8
MkFF17_5,Mapourika,Field,Female,3x,Asexual,22C,4.37,19.54
MkFF17_7,Mapourika,Field,Female,2x,Sexual,22C,7.67,117.72
MkFM16_10,Mapourika,Field,Male,2x,Sexual,22C,8.02,19.39
MkFM16_2,Mapourika,Field,Male,2x,Sexual,22C,3.09,9.44
MkFM16_3,Mapourika,Field,Male,2x,Sexual,22C,5.13,17.66
MkFM16_4,Mapourika,Field,Male,2x,Sexual,22C,5.23,13.27
MkFM16_7,Mapourika,Field,Male,2x,Sexual,22C,6.84,11.05
MkFM16_9,Mapourika,Field,Male,2x,Sexual,22C,8.56,55.03
PoeAsF3N_1,Poerua,Lab,Female,3x,Asexual,22C,2.61,7.63
PoeAsF3N_10,Poerua,Lab,Female,3x,Asexual,22C,2.4,31.68
PoeAsF3N_2,Poerua,Lab,Female,3x,Asexual,22C,3.44,10.18
